source_id,title,organization,source_type,publication_date,url,reliability_tier,notes
SRC001,"Some Major Achievements of the Buhari Administration Under the Federal Minister of Communications & Digital Economy from August 2019 to July 2021","Universal Service Provision Fund",government_publication,2021,https://uspf.gov.ng/media-centre/news/101-news-achievements-pantami,official,"Government-linked publication summarizing ministry/parastatal achievements under Prof. Pantami."
SRC002,"NITDA at 20: NITDA's Achievements Contribute to Nation's GDP - Dr. Pantami","National Information Technology Development Agency",government_publication,2021,https://nitda.gov.ng/nitda-at-20-nitdas-achievements-contribute-to-nations-gdp-dr-pantami/4378/,official,"NITDA article on institutional contribution and anniversary context."
SRC003,"Nigeria's Active Internet Subscribers Hit 140m - NCC","Nigerian Investment Promotion Commission / NCC statement",government_publication,2021-12-06,https://www.nipc.gov.ng/2021/12/06/nigerias-active-internet-subscribers-hit-140m-ncc/,official,"NIPC republication of NCC stakeholder statement with broadband, GDP, internet subscriber metrics."
SRC004,"NERC Second Quarter 2022 Report","Nigerian Electricity Regulatory Commission",regulator_report,2023-02-07,https://nerc.gov.ng/wp-content/uploads/2023/02/NERC%20Second%20Quarter%202022%20Report_070223.pdf,official,"NERC quarterly report with DisCo metering and consumer-affairs data."
SRC005,"NERC Fourth Quarter 2022 Report","Nigerian Electricity Regulatory Commission",regulator_report,2023-07-31,https://nerc.gov.ng/wp-content/uploads/2023/07/2022_Q4%20Report_Updated_310723.pdf,official,"NERC quarterly report with customer complaints and metering context."
SRC006,"How we raised the bar on safe power supply at KEDCO - Dr Gwamna","Daily Trust",verified_journalism,2020,https://dailytrust.com/how-we-raised-the-bar-on-safe-power-supply-at-kedco-dr-gwamna/,media_interview,"Interview with Dr. Gwamna on KEDCO safety and COVID-era utility management."
SRC007,"KEDCO made progress under my leadership - Dr Gwamna","Daily Trust",verified_journalism,2022,https://dailytrust.com/kedco-made-progress-under-my-leadership-dr-gwamna/,media_interview,"Reported statement on KEDCO transformation, investment, training, and customer service."
SRC008,"Power: We're enhancing Kano DISCO's operations - KEDCO's CEO","Blueprint Newspapers",verified_journalism,2022-04-22,https://blueprint.ng/power-were-enhancing-kano-discos-operations-kedcos-ceo/,verified_journalism,"Report on transformers, accessories, and feeder construction inspected by KEDCO CEO."
SRC009,"KEDCO MD pledges effective service delivery, tasks staff on commitment","The Business Intelligence Africa",verified_journalism,2019-11-03,https://tbiafrica.com/2019/11/03/kedco-md-pledges-effective-service-delivery-tasks-staff-on-commitment/,verified_journalism,"Reported KEDCO service-delivery pledge."
SRC010,"National Digital Economy Policy and Strategy 2020-2030","Federal Ministry of Communications and Digital Economy",policy_document,2019,https://fmcide.gov.ng/wp-content/uploads/2023/11/National-Digital-Economy-Policy-and-Strategy.pdf,official,"Policy framework associated with the communications and digital economy portfolio."
SRC011,"Nigerian National Broadband Plan 2020-2025","Federal Ministry of Communications and Digital Economy",policy_document,2020,https://fmcide.gov.ng/wp-content/uploads/2023/11/Nigerian-National-Broadband-Plan-2020-2025.pdf,official,"Broadband policy target document for national digital infrastructure."
SRC012,"Isa Ali Pantami biography","Wikipedia",encyclopedia,2026,https://en.wikipedia.org/wiki/Isa_Ali_Pantami,secondary_context,"Used only for cross-checking office dates; not used as primary performance evidence."
SRC013,"SAID AHMED ALKALI - Honourable Minister of Transportation","Federal Ministry of Transportation",government_publication,2024,https://transportation.gov.ng/team/honourable-minister-of-transportation/,official,"Official profile with background, public offices, senatorial service, and ministerial appointment."
SRC014,"Transportation Minister Signs Performance Bond With Directors, CEOs, Expresses Readiness To Deliver On Ministerial Mandate","Federal Ministry of Transportation",government_publication,2024-02-10,https://transportation.gov.ng/transportation-minister-signs-performance-bond-with-directors-ceos-expresses-readiness-to-deliver-on-ministerial-mandate/,official,"Official ministry report on performance bond, KPI cascade, intermodal transport mandate, and rail programme status."
SRC015,"Transport Sector Is A Strong Enabler Of The Economy - Hon Minister Of Transportation","Nigerian Institute of Transport Technology",government_publication,2024-02-11,https://nitt.gov.ng/2024/02/11/transport-sector-is-a-strong-enabler-of-the-economy-hon-minister-of-transportation/,official,"NITT report on ministerial remarks linking transport to economic growth, jobs, mobility cost, and KPI implementation."
SRC016,"FG Rail Modernization Project: Transport Minister Assures On Completion Of The 387km Kano-Daura Rail Segment By 2025","Federal Ministry of Transportation",government_publication,2024-05-10,https://transportation.gov.ng/fg-rail-modernization-project-transport-minister-assures-on-completion-of-the-387km-kano-daura-rail-segment-by-2025/,official,"Official ministry report on inspection of Kano-Maradi and Kaduna-Kano rail projects and freight plans."
SRC017,"Alkali, Transforming Nigeria's Transport Sector","Federal Ministry of Information and National Orientation",government_publication,2025-11-04,https://fmino.gov.ng/alkali-transforming-nigerias-transport-sector/,official,"Government information report on National Land Transport Policy, regulatory frameworks, smart mobility, logistics drones, and rail unbundling."
SRC018,"Saidu Alkali: Only N2.5bn out of N256.7bn 2025 budget was released to transport ministry","TheCable",verified_journalism,2026-02-13,https://www.thecable.ng/saidu-alkali-only-n2-5bn-out-of-n256-7bn-2025-budget-was-released-to-transport-ministry/,verified_journalism,"Budget-performance report with funding constraints, policy approval, private-sector financing commitments, and legislative challenges."
SRC019,"$3bn South-East railway project not diverted - Ministry","Punch Newspapers",verified_journalism,2025-03-12,https://punchng.com/3bn-south-east-railway-project-not-diverted-ministry/,verified_journalism,"Report on ministry response to public allegation about railway project diversion and funding constraints."
SRC020,"Port Harcourt-Maiduguri railway: Minister slams contractor, says project disappointing","Punch Newspapers",verified_journalism,2023-09-22,https://punchng.com/port-harcourt-maiduguri-railway-minister-slams-contractor-says-project-disappointing/,verified_journalism,"Report on ministerial inspection, contractor criticism, completion concerns, and public accountability posture."
SRC021,"FG Secures Financing For Kaduna-Kano Rail Project, Initiates Badagry, TinCan, Apapa Rail Links","Independent Newspaper Nigeria",verified_journalism,2024-06-06,https://independent.ng/fg-secures-financing-for-kaduna-kano-rail-project-initiates-badagry-tincan-apapa-rail-links/,verified_journalism,"Report on secured financing, Lagos-Kano freight service, port rail links, and transport policy dialogue."
SRC022,"Legislative Internship Guide 2021","Policy and Legal Advocacy Centre",civil_society_publication,2021,https://placng.org/i/wp-content/uploads/2022/04/Legislative-Internship-Guide-2021.pdf,secondary_context,"Public legislative guide used as contextual evidence for Senate committee/FERMA oversight references; direct FERMA agency leadership requires further verification."
